paragraph_text,paragraph_index,book_name
    圣元大陆，景国，江州，大源府，济县。,0, 第一章 寒门子弟
    天空一碧如洗，阳光明媚，鸟儿欢快地鸣叫，地面散落着被夜雨打落的树叶和花瓣，春意盎然。,1, 第一章 寒门子弟
    方运浑身发冷，猛地惊醒，睁开眼睛茫然看着周围。,2, 第一章 寒门子弟
    方运发现自己躺在一处小巷的青石板上，地面湿漉漉的，急忙扶着墙站起来，同时感到全身疼痛，火辣辣的。,3, 第一章 寒门子弟
    “我明明记得图书馆里失火，然后我跳楼逃生，怎么会在这里？这是什么地方？”方运疑惑地心想。,4, 第一章 寒门子弟
    方运余光发现身上的衣服不对，低头一看，大惊失色，自己竟然身穿古代的麻布粗衣，衣服上沾着泥水和血迹。自己的胳膊又细又小。,5, 第一章 寒门子弟
    旁边有个小水洼，方运低头一看，水洼倒映出他的容貌。,6, 第一章 寒门子弟
    “这不是十四五岁的我吗？”,7, 第一章 寒门子弟
    突然，方运大脑剧痛，眼冒金星，大量的记忆涌入脑海，他死死地咬着牙，汗水从额头渗出。,8, 第一章 寒门子弟
    不知道过了多久，方运平静下来，眼神无比复杂，慢慢回忆多出来的记忆。,9, 第一章 寒门子弟
    “原来这里已经不是地球，是从来没听说过的圣元大陆。这个同样叫方运的少年，已经被人打死。难道我在图书馆里摔死了，然后机缘巧合占据了他的身体？这就是传说中的还魂重生？”,10, 第一章 寒门子弟
    “这个方运最强烈的愿望就是当童生，拥有才气光宗耀祖。这里竟然有‘才气’这种力量，读书人可以通过才气掌控‘天地元气’，获得更加强大的力量，真是闻所未闻。”,11, 第一章 寒门子弟
    “咦？这里的历史……”,12, 第一章 寒门子弟
    方运发现这个世界除了有妖蛮，圣元大陆的历史在商朝之前很正常，但从商朝末年有了巨大的变化。,13, 第一章 寒门子弟
    商朝末年，西伯侯姬昌即后来的周文王，观日月星空写成千古奇书《易经》，天降异象，才气灌顶，天封亚圣，出西岐伐纣。,14, 第一章 寒门子弟
    西岐大军势如破竹，多日后到达商朝的国都朝歌城下，城门突然大开，十万妖族、三十万蛮族和百万大商士兵如潮水涌出，包围二十万西岐军士。,15, 第一章 寒门子弟
    商纣王站在城楼上搂着狐妖妲己，大骂西岐军士，尔后下令总攻，眼看西岐军士即将遭遇灭顶之灾，周文王踏青云从天而降。,16, 第一章 寒门子弟
